number|merged_at|url|title|Feature|Change Type
3146|2022-07-04 17:59:02+00:00|https://github.com/casper-network/casper-node/pull/3146|GH-3156: Remove inmem global state|ExEng|Refactor
3169|2022-07-07 11:57:03+00:00|https://github.com/casper-network/casper-node/pull/3169|GH-3157: Move EE's storage module to a crate|ExEng|Refactor
3183|2022-09-21 14:48:49+00:00|https://github.com/casper-network/casper-node/pull/3183|GH-3182: Add basic data access layer structure|ExEng|Refactor
3606|2023-01-28 01:47:23+00:00|https://github.com/casper-network/casper-node/pull/3606|Reverting the reversion of Zug-compatible rewards|Zug|Refactor
3931|2023-05-11 15:40:12+00:00|https://github.com/casper-network/casper-node/pull/3931|Port DES tests and related Zug changes to `feat-2.0`|Zug|Enhance
3991|2023-05-29 12:42:34+00:00|https://github.com/casper-network/casper-node/pull/3991|New parameters are added in relation to the finality rewards:|Zug|Enhance
4028|2023-06-13 23:49:02+00:00|https://github.com/casper-network/casper-node/pull/4028|Push chainspec type graph down into casper types|ExEng|Refactor
4053|2023-06-15 03:03:48+00:00|https://github.com/casper-network/casper-node/pull/4053|Move `Deploy` and its associated types to `casper-types` crate|ExEng|Refactor
4067|2023-06-27 16:21:02+00:00|https://github.com/casper-network/casper-node/pull/4067|Move block types from casper-node to casper-types|ExEng|Refactor
4079|2023-06-27 12:08:17+00:00|https://github.com/casper-network/casper-node/pull/4079|Fix serialization issues|Core|Bugfix
4092|2023-06-28 18:53:17+00:00|https://github.com/casper-network/casper-node/pull/4092|Clean up EE types|ExEng|Refactor
4101|2023-07-07 17:09:21+00:00|https://github.com/casper-network/casper-node/pull/4101|Add casper-storage to casper-updater|ExEng|Refactor
4130|2023-08-18 15:11:17+00:00|https://github.com/casper-network/casper-node/pull/4130|Introduce new `Transaction` type|Transaction|Enhance
4131|2023-07-20 14:55:24+00:00|https://github.com/casper-network/casper-node/pull/4131|Use test_block_builder only for tests|TechDebt|Refactor
4133|2023-08-11 09:43:05+00:00|https://github.com/casper-network/casper-node/pull/4133|Use execution journal instead of execution effects|Transactions|Refactor
4162|2023-08-23 21:18:12+00:00|https://github.com/casper-network/casper-node/pull/4162|Transaction enum|Transactions|Enhance
4163|2023-08-08 16:41:18+00:00|https://github.com/casper-network/casper-node/pull/4163|Introduce AddressableEntity|AddressableEntity|Enhance
4182|2023-09-01 23:13:16+00:00|https://github.com/casper-network/casper-node/pull/4182|GH-2064: Factory pattern MVP|FactoryPattern|Enhance
4196|2023-08-28 06:09:35+00:00|https://github.com/casper-network/casper-node/pull/4196|Feat 2.0 bid rework|Rewards|Enhance
4207|2023-08-14 13:08:25+00:00|https://github.com/casper-network/casper-node/pull/4207|Return early in case of a faulty sender|Zug|Enhance
4217|2023-09-04 14:34:49+00:00|https://github.com/casper-network/casper-node/pull/4217|Verify that the sync response has been asked for|Zug|Refactor
4236|2023-09-06 17:23:20+00:00|https://github.com/casper-network/casper-node/pull/4236|Change DeployAcceptor to TransactionAcceptor|Transactions|Enhance
4241|2023-09-06 20:49:27+00:00|https://github.com/casper-network/casper-node/pull/4241|Transaction gossiper|Transactions|Enhance
4267|2023-09-12 17:39:26+00:00|https://github.com/casper-network/casper-node/pull/4267|Data extensibility for `Block` and `BlockBody`|DataExtensibility|Enhance
4286|2023-09-14 12:05:47+00:00|https://github.com/casper-network/casper-node/pull/4286|Fix query_balance to handle addressable_entity|AddressableEntity|Refactor
4310|2023-10-12 12:33:26+00:00|https://github.com/casper-network/casper-node/pull/4310|Refactor usage of the ContractHash and Key types in preparation for Uref work|ExEng|Refactor
4320|2023-10-19 12:37:29+00:00|https://github.com/casper-network/casper-node/pull/4320|Disable stored session and rework standard payment|AddressableEntity|Enhance
4326|2023-10-10 16:20:59+00:00|https://github.com/casper-network/casper-node/pull/4326|Merge SSE event streams|NativeEvents|Enhance
4351|2023-10-27 13:55:55+00:00|https://github.com/casper-network/casper-node/pull/4351|Transactions on JSON-RPC server|Transactions|Enhance
4355|2023-10-27 20:30:10+00:00|https://github.com/casper-network/casper-node/pull/4355|Transactions on event stream server|Transactions|Enhance
4358|2023-10-30 13:31:42+00:00|https://github.com/casper-network/casper-node/pull/4358|Convert `DeployFetcher` to `TransactionFetcher`|Transactions|Enhance
4370|2023-11-03 21:47:00+00:00|https://github.com/casper-network/casper-node/pull/4370|Contract level messages|NativeEvents|Enhance
4371|2023-10-24 15:12:53+00:00|https://github.com/casper-network/casper-node/pull/4371|Fix issue in `Key` and increase test coverage|Core|Bugfix
